fiscal_yr;org_id;department_en;department_fr;service_count;service_with_std_count;maf1_score;service_standard_id_met;service_standard_id_total;maf2_score;online_e2e_count;service_count;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count;maf8_score
2019-2020;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;2;1;50.0;;;;0;2;0.0;1.0;12.0;8.333333333333332;0;2;0.0
2019-2020;133;National Defence;Défense nationale;10;6;60.0;10.0;11.0;90.9090909090909;5;10;50.0;8.0;24.0;33.33333333333333;0;10;0.0
2019-2020;223;National Film Board;Office national du film;3;3;100.0;5.0;6.0;83.33333333333334;1;3;33.33333333333333;4.0;9.0;44.44444444444444;0;3;0.0
2019-2020;228;National Research Council Canada;Conseil national de recherches Canada;15;15;100.0;13.0;21.0;61.904761904761905;6;15;40.0;31.0;47.0;65.95744680851064;0;15;0.0
2019-2020;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;2;0;0.0;;;;2;2;100.0;;;;0;2;0.0
2019-2020;134;Natural Resources Canada;Ressources naturelles Canada;33;27;81.81818181818183;;;;22;33;66.66666666666666;60.0;111.0;54.054054054054056;0;33;0.0
2019-2020;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;8.0;11.0;72.72727272727273;6;6;100.0;23.0;23.0;100.0;0;6;0.0
2019-2020;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;6;0;0.0;;;;5;6;83.33333333333334;7.0;11.0;63.63636363636363;0;6;0.0
2019-2020;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;8;7;87.5;8.0;9.0;88.88888888888889;4;8;50.0;2.0;18.0;11.11111111111111;0;8;0.0
2019-2020;263;Parks Canada;Parcs Canada;12;7;58.333333333333336;2.0;2.0;100.0;0;12;0.0;4.0;72.0;5.555555555555555;0;12;0.0
2019-2020;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;11;6;54.54545454545454;7.0;8.0;87.5;5;11;45.45454545454545;32.0;66.0;48.484848484848484;0;11;0.0
2019-2020;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;2;1;50.0;1.0;1.0;100.0;2;2;100.0;5.0;5.0;100.0;0;2;0.0
2019-2020;552;Polar Knowledge Canada;Savoir polaire Canada;2;2;100.0;2.0;2.0;100.0;0;2;0.0;4.0;12.0;33.33333333333333;0;2;0.0
2019-2020;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;4;3;75.0;6.0;6.0;100.0;2;4;50.0;9.0;14.0;64.28571428571429;0;4;0.0
2019-2020;278;Privy Council Office;Bureau du Conseil privé;6;0;0.0;;;;5;6;83.33333333333334;6.0;10.0;60.0;0;6;0.0
2019-2020;280;Public Health Agency of Canada;Agence de la santé publique du Canada;13;12;92.3076923076923;15.0;17.0;88.23529411764706;7;13;53.84615384615385;10.0;42.0;23.809523809523807;0;13;0.0
2019-2020;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;1;0;0.0;;;;0;1;0.0;2.0;6.0;33.33333333333333;0;1;0.0
2019-2020;135;Public Safety Canada;Sécurité publique Canada;54;39;72.22222222222221;1.0;1.0;100.0;0;54;0.0;24.0;324.0;7.4074074074074066;0;54;0.0
2019-2020;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;25;21;84.0;9.0;15.0;60.0;16;25;64.0;87.0;128.0;67.96875;0;25;0.0
2019-2020;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;46;34;73.91304347826086;45.0;56.0;80.35714285714286;21;46;45.65217391304348;76.0;176.0;43.18181818181818;0;46;0.0
2019-2020;296;RCMP External Review Committee;Comité externe d'examen de la GRC;1;1;100.0;;;;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2019-2020;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;18;13;72.22222222222221;11.0;21.0;52.38095238095239;12;18;66.66666666666666;19.0;35.0;54.285714285714285;0;18;0.0
2019-2020;305;Shared Services Canada;Services partagés Canada;12;10;83.33333333333334;;;;5;12;41.66666666666667;40.0;61.0;65.57377049180327;0;12;0.0
2019-2020;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;9.0;13.0;69.23076923076923;6;7;85.71428571428571;21.0;24.0;87.5;0;7;0.0
2019-2020;313;Statistics Canada;Statistique Canada;23;23;100.0;;;;21;23;91.30434782608695;46.0;51.0;90.19607843137256;0;23;0.0
2019-2020;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;2.0;5.0;40.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2019-2020;218;The National Battlefields Commission;Commission des champs de bataille nationaux;7;7;100.0;4.0;4.0;100.0;7;7;100.0;9.0;9.0;100.0;0;7;0.0
2019-2020;138;Transport Canada;Transports Canada;102;68;66.66666666666666;92.0;174.0;52.87356321839081;33;102;32.35294117647059;36.0;418.0;8.61244019138756;0;102;0.0
2019-2020;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;5;0;0.0;;;;0;5;0.0;0.0;30.0;0.0;0;5;0.0
2019-2020;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;15;13;86.66666666666667;6.0;12.0;50.0;11;15;73.33333333333333;51.0;63.0;80.95238095238095;0;15;0.0
2019-2020;139;Veterans Affairs Canada;Anciens Combattants Canada;28;19;67.85714285714286;17.0;22.0;77.27272727272727;16;28;57.14285714285714;114.0;136.0;83.82352941176471;0;28;0.0
2019-2020;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);2;2;100.0;1.0;2.0;50.0;0;2;0.0;7.0;12.0;58.333333333333336;0;2;0.0
2019-2020;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;3;3;100.0;2.0;4.0;50.0;0;3;0.0;9.0;18.0;50.0;0;3;0.0
2020-2021;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;4;3;75.0;;;;2;4;50.0;2.0;12.0;16.666666666666664;1;4;25.0
2020-2021;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;39;39;100.0;133.0;148.0;89.86486486486487;10;39;25.64102564102564;92.0;204.0;45.09803921568628;37;39;94.87179487179486
2020-2021;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;5;3;60.0;;;;3;5;60.0;11.0;13.0;84.61538461538461;0;5;0.0
2020-2021;26;Canada Border Services Agency;Agence des services frontaliers du Canada;42;27;64.28571428571429;27.0;41.0;65.85365853658537;13;42;30.952380952380953;32.0;150.0;21.333333333333336;1;42;2.380952380952381
2020-2021;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2;2;100.0;8.0;8.0;100.0;0;2;0.0;1.0;7.0;14.285714285714285;1;2;50.0
2020-2021;221;Canada Energy Regulator;Régie de l'énergie du Canada;16;16;100.0;15.0;16.0;93.75;0;16;0.0;11.0;94.0;11.702127659574469;15;16;93.75
2020-2021;46;Canada Revenue Agency;Agence du revenu du Canada;33;22;66.66666666666666;10.0;20.0;50.0;20;33;60.60606060606061;145.0;166.0;87.34939759036145;22;33;66.66666666666666
2020-2021;47;Canada School of Public Service;École de la fonction publique du Canada;3;2;66.66666666666666;2.0;4.0;50.0;1;3;33.33333333333333;7.0;15.0;46.666666666666664;0;3;0.0
2020-2021;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;8;8;100.0;6.0;15.0;40.0;3;8;37.5;17.0;30.0;56.666666666666664;3;8;37.5
2020-2021;69;Canadian Grain Commission;Commission canadienne des grains;14;11;78.57142857142857;8.0;9.0;88.88888888888889;2;14;14.285714285714285;9.0;67.0;13.432835820895523;13;14;92.85714285714286
2020-2021;122;Canadian Heritage;Patrimoine canadien;29;25;86.20689655172413;45.0;55.0;81.81818181818183;0;29;0.0;23.0;174.0;13.218390804597702;11;29;37.93103448275862
2020-2021;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;3;1;33.33333333333333;;;;2;3;66.66666666666666;4.0;8.0;50.0;0;3;0.0
2020-2021;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;6;2;33.33333333333333;;;;3;6;50.0;11.0;18.0;61.111111111111114;1;6;16.666666666666664
2020-2021;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;2;2;100.0;2.0;3.0;66.66666666666666;0;2;0.0;6.0;8.0;75.0;1;2;50.0
2020-2021;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;4;3;75.0;4.0;5.0;80.0;2;4;50.0;9.0;18.0;50.0;2;4;50.0
2020-2021;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;9;7;77.77777777777779;8.0;11.0;72.72727272727273;7;9;77.77777777777779;0.0;12.0;0.0;0;9;0.0
2020-2021;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;4;4;100.0;6.0;6.0;100.0;2;4;50.0;15.0;17.0;88.23529411764706;0;4;0.0
2020-2021;95;Canadian Space Agency;Agence spatiale canadienne;10;10;100.0;15.0;16.0;93.75;6;10;60.0;27.0;40.0;67.5;9;10;90.0
2020-2021;99;Canadian Transportation Agency;Office des transports du Canada;5;3;60.0;3.0;5.0;60.0;0;5;0.0;13.0;30.0;43.333333333333336;2;5;40.0
2020-2021;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;3;2;66.66666666666666;1.0;3.0;33.33333333333333;3;3;100.0;;;;3;3;100.0
2020-2021;114;Copyright Board Canada;Commission du droit d'auteur Canada;3;3;100.0;3.0;3.0;100.0;1;3;33.33333333333333;4.0;16.0;25.0;0;3;0.0
2020-2021;117;Correctional Service Canada;Service correctionnel Canada;3;3;100.0;6.0;10.0;60.0;2;3;66.66666666666666;4.0;10.0;40.0;0;3;0.0
2020-2021;118;Courts Administration Service;Service administratif des tribunaux judiciaires;1;1;100.0;1.0;1.0;100.0;1;1;100.0;;;;0;1;0.0
2020-2021;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;44;36;81.81818181818183;11.0;24.0;45.83333333333333;41;44;93.18181818181817;32.0;45.0;71.11111111111111;7;44;15.909090909090908
2020-2021;124;Department of Finance Canada;Ministère des Finances Canada;3;1;33.33333333333333;;;;0;3;0.0;5.0;18.0;27.77777777777778;0;3;0.0
2020-2021;348;Department of Indigenous Services;Ministère des Services aux Autochtones;85;14;16.470588235294116;8.0;15.0;53.333333333333336;52;85;61.1764705882353;36.0;135.0;26.666666666666668;16;85;18.823529411764707
2020-2021;132;Department of Justice Canada;Ministère de la Justice Canada;13;12;92.3076923076923;21.0;28.0;75.0;11;13;84.61538461538461;54.0;66.0;81.81818181818183;0;13;0.0
2020-2021;128;Employment and Social Development Canada;Emploi et Développement social Canada;31;29;93.54838709677419;46.0;69.0;66.66666666666666;17;31;54.83870967741935;73.0;124.0;58.87096774193549;11;31;35.483870967741936
2020-2021;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;42;35;83.33333333333334;53.0;71.0;74.64788732394366;12;42;28.57142857142857;97.0;206.0;47.0873786407767;15;42;35.714285714285715
2020-2021;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;4;0;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2020-2021;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;2;1;50.0;3.0;4.0;75.0;0;2;0.0;0.0;12.0;0.0;2;2;100.0
2020-2021;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;2;1;50.0;2.0;2.0;100.0;0;2;0.0;6.0;12.0;50.0;1;2;50.0
2020-2021;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;7;5;71.42857142857143;3.0;5.0;60.0;2;7;28.57142857142857;7.0;37.0;18.91891891891892;0;7;0.0
2020-2021;125;Fisheries and Oceans Canada;Pêches et Océans Canada;71;65;91.54929577464789;82.0;103.0;79.6116504854369;49;71;69.01408450704226;31.0;136.0;22.794117647058822;0;71;0.0
2020-2021;126;Global Affairs Canada;Affaires mondiales Canada;30;21;70.0;15.0;16.0;93.75;18;30;60.0;44.0;102.0;43.13725490196079;6;30;20.0
2020-2021;127;Health Canada;Santé Canada;88;59;67.04545454545455;40.0;62.0;64.51612903225806;49;88;55.68181818181818;95.0;253.0;37.54940711462451;30;88;34.090909090909086
2020-2021;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;3;3;100.0;4.0;6.0;66.66666666666666;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2020-2021;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;6;6;100.0;1.0;6.0;16.666666666666664;1;6;16.666666666666664;19.0;29.0;65.51724137931035;5;6;83.33333333333334
2020-2021;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;73;26;35.61643835616438;17.0;46.0;36.95652173913043;31;73;42.465753424657535;227.0;354.0;64.12429378531074;27;73;36.986301369863014
2020-2021;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;9;7;77.77777777777779;13.0;19.0;68.42105263157895;9;9;100.0;13.0;13.0;100.0;6;9;66.66666666666666
2020-2021;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;72;59;81.94444444444444;279.0;411.0;67.88321167883211;55;72;76.38888888888889;124.0;167.0;74.25149700598801;38;72;52.77777777777778
2020-2021;347;Invest in Canada Hub;Investir au Canada;3;0;0.0;;;;0;3;0.0;3.0;18.0;16.666666666666664;0;3;0.0
2020-2021;199;Library and Archives Canada;Bibliothèque et Archives Canada;20;8;40.0;;;;1;20;5.0;27.0;107.0;25.233644859813083;13;20;65.0
2020-2021;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;1;1;100.0;;;;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2020-2021;133;National Defence;Défense nationale;10;6;60.0;9.0;12.0;75.0;6;10;60.0;8.0;24.0;33.33333333333333;4;10;40.0
2020-2021;223;National Film Board;Office national du film;5;5;100.0;9.0;10.0;90.0;1;5;20.0;14.0;21.0;66.66666666666666;2;5;40.0
2020-2021;228;National Research Council Canada;Conseil national de recherches Canada;16;16;100.0;22.0;29.0;75.86206896551724;6;16;37.5;34.0;53.0;64.15094339622641;11;16;68.75
2020-2021;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;2;0;0.0;;;;2;2;100.0;;;;2;2;100.0
2020-2021;134;Natural Resources Canada;Ressources naturelles Canada;70;62;88.57142857142857;15.0;16.0;93.75;41;70;58.57142857142858;145.0;273.0;53.11355311355312;1;70;1.4285714285714286
2020-2021;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;7.0;11.0;63.63636363636363;6;6;100.0;22.0;22.0;100.0;6;6;100.0
2020-2021;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;6;0;0.0;;;;5;6;83.33333333333334;7.0;11.0;63.63636363636363;0;6;0.0
2020-2021;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;8;7;87.5;5.0;11.0;45.45454545454545;4;8;50.0;2.0;18.0;11.11111111111111;0;8;0.0
2020-2021;256;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;11;8;72.72727272727273;;;;6;11;54.54545454545454;7.0;29.0;24.137931034482758;3;11;27.27272727272727
2020-2021;263;Parks Canada;Parcs Canada;12;7;58.333333333333336;5.0;5.0;100.0;0;12;0.0;5.0;72.0;6.944444444444445;3;12;25.0
2020-2021;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;11;6;54.54545454545454;4.0;6.0;66.66666666666666;3;11;27.27272727272727;20.0;66.0;30.303030303030305;0;11;0.0
2020-2021;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;2;1;50.0;1.0;2.0;50.0;2;2;100.0;5.0;5.0;100.0;0;2;0.0
2020-2021;552;Polar Knowledge Canada;Savoir polaire Canada;2;2;100.0;2.0;2.0;100.0;0;2;0.0;2.0;12.0;16.666666666666664;0;2;0.0
2020-2021;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;3;2;66.66666666666666;5.0;5.0;100.0;2;3;66.66666666666666;7.0;8.0;87.5;3;3;100.0
2020-2021;278;Privy Council Office;Bureau du Conseil privé;10;1;10.0;;;;0;10;0.0;0.0;60.0;0.0;1;10;10.0
2020-2021;280;Public Health Agency of Canada;Agence de la santé publique du Canada;20;19;95.0;17.0;25.0;68.0;11;20;55.00000000000001;20.0;69.0;28.985507246376812;4;20;20.0
2020-2021;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;3;0;0.0;;;;1;3;33.33333333333333;2.0;10.0;20.0;1;3;33.33333333333333
2020-2021;135;Public Safety Canada;Sécurité publique Canada;57;41;71.9298245614035;51.0;59.0;86.4406779661017;24;57;42.10526315789473;27.0;203.0;13.30049261083744;19;57;33.33333333333333
2020-2021;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;20;16;80.0;3.0;7.0;42.857142857142854;14;20;70.0;83.0;110.0;75.45454545454545;16;20;80.0
2020-2021;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;48;35;72.91666666666666;48.0;64.0;75.0;26;48;54.166666666666664;75.0;150.0;50.0;23;48;47.91666666666667
2020-2021;296;RCMP External Review Committee;Comité externe d'examen de la GRC;1;1;100.0;;;;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2020-2021;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;27;16;59.25925925925925;10.0;22.0;45.45454545454545;15;27;55.55555555555556;36.0;83.0;43.373493975903614;3;27;11.11111111111111
2020-2021;305;Shared Services Canada;Services partagés Canada;12;10;83.33333333333334;;;;5;12;41.66666666666667;40.0;61.0;65.57377049180327;11;12;91.66666666666666
2020-2021;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;6;6;100.0;6.0;12.0;50.0;6;6;100.0;18.0;18.0;100.0;5;6;83.33333333333334
2020-2021;313;Statistics Canada;Statistique Canada;23;23;100.0;20.0;20.0;100.0;21;23;91.30434782608695;46.0;51.0;90.19607843137256;0;23;0.0
2020-2021;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;;;;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2020-2021;218;The National Battlefields Commission;Commission des champs de bataille nationaux;7;7;100.0;;;;7;7;100.0;11.0;11.0;100.0;0;7;0.0
2020-2021;138;Transport Canada;Transports Canada;107;73;68.22429906542055;107.0;111.0;96.3963963963964;49;107;45.794392523364486;61.0;345.0;17.681159420289855;23;107;21.49532710280374
2020-2021;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;4;0;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2020-2021;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;24;21;87.5;32.0;34.0;94.11764705882352;19;24;79.16666666666666;88.0;102.0;86.27450980392157;18;24;75.0
2020-2021;139;Veterans Affairs Canada;Anciens Combattants Canada;29;20;68.96551724137932;17.0;21.0;80.95238095238095;19;29;65.51724137931035;115.0;136.0;84.55882352941177;7;29;24.137931034482758
2020-2021;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);1;1;100.0;;;;0;1;0.0;5.0;6.0;83.33333333333334;1;1;100.0
2020-2021;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;3;3;100.0;5.0;5.0;100.0;0;3;0.0;6.0;18.0;33.33333333333333;3;3;100.0
2021-2022;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;3;2;66.66666666666666;1.0;1.0;100.0;1;3;33.33333333333333;2.0;12.0;16.666666666666664;1;3;33.33333333333333
2021-2022;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;41;41;100.0;119.0;146.0;81.5068493150685;12;41;29.268292682926827;105.0;217.0;48.38709677419355;41;41;100.0
2021-2022;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;5;3;60.0;3.0;7.0;42.857142857142854;2;5;40.0;11.0;14.0;78.57142857142857;2;5;40.0
2021-2022;26;Canada Border Services Agency;Agence des services frontaliers du Canada;35;26;74.28571428571429;30.0;43.0;69.76744186046511;9;35;25.71428571428571;28.0;148.0;18.91891891891892;2;35;5.714285714285714
2021-2022;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2;2;100.0;3.0;8.0;37.5;0;2;0.0;1.0;6.0;16.666666666666664;0;2;0.0
