fiscal_yr;org_id;department_en;department_fr;service_count;service_with_std_count;maf1_score;service_standard_id_met;service_standard_id_total;maf2_score;online_e2e_count;service_count;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count;maf8_score
2022-2023;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;75;64;85.33333333333334;179.0;232.0;77.15517241379311;52;75;69.33333333333334;207.0;272.0;76.10294117647058;35;75;46.666666666666664
2022-2023;199;Library and Archives Canada;Bibliothèque et Archives Canada;20;8;40.0;1.0;5.0;20.0;1;20;5.0;28.0;107.0;26.168224299065418;3;20;15.0
2022-2023;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;1;1;100.0;;;;0;1;0.0;0.0;6.0;0.0;1;1;100.0
2022-2023;133;National Defence;Défense nationale;12;4;33.33333333333333;10.0;12.0;83.33333333333334;9;12;75.0;17.0;22.0;77.27272727272727;4;12;33.33333333333333
2022-2023;228;National Research Council Canada;Conseil national de recherches Canada;15;15;100.0;26.0;31.0;83.87096774193549;8;15;53.333333333333336;37.0;46.0;80.43478260869566;9;15;60.0
2022-2023;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;2;0;0.0;;;;1;2;50.0;0.0;6.0;0.0;0;2;0.0
2022-2023;134;Natural Resources Canada;Ressources naturelles Canada;87;76;87.35632183908046;106.0;140.0;75.71428571428571;52;87;59.77011494252874;133.0;282.0;47.16312056737589;53;87;60.91954022988506
2022-2023;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;8.0;11.0;72.72727272727273;6;6;100.0;22.0;22.0;100.0;6;6;100.0
2022-2023;238;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;9;9;100.0;7.0;9.0;77.77777777777779;9;9;100.0;2.0;2.0;100.0;9;9;100.0
2022-2023;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;6;0;0.0;;;;5;6;83.33333333333334;7.0;11.0;63.63636363636363;2;6;33.33333333333333
2022-2023;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;7;5;71.42857142857143;5.0;10.0;50.0;4;7;57.14285714285714;0.0;12.0;0.0;4;7;57.14285714285714
2022-2023;256;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;11;8;72.72727272727273;3.0;7.0;42.857142857142854;6;11;54.54545454545454;7.0;30.0;23.333333333333332;2;11;18.181818181818183
2022-2023;560;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;3;2;66.66666666666666;3.0;5.0;60.0;2;3;66.66666666666666;7.0;8.0;87.5;0;3;0.0
2022-2023;263;Parks Canada;Parcs Canada;24;8;33.33333333333333;4.0;11.0;36.36363636363637;18;24;75.0;8.0;34.0;23.52941176470588;4;24;16.666666666666664
2022-2023;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;10;4;40.0;5.0;5.0;100.0;2;10;20.0;8.0;54.0;14.814814814814813;0;10;0.0
2022-2023;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;0;0.0;;;;1;1;100.0;;;;0;1;0.0
2022-2023;552;Polar Knowledge Canada;Savoir polaire Canada;2;2;100.0;1.0;1.0;100.0;0;2;0.0;2.0;12.0;16.666666666666664;0;2;0.0
2022-2023;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;3;2;66.66666666666666;5.0;5.0;100.0;3;3;100.0;8.0;8.0;100.0;3;3;100.0
2022-2023;278;Privy Council Office;Bureau du Conseil privé;3;3;100.0;3.0;3.0;100.0;3;3;100.0;1.0;1.0;100.0;0;3;0.0
2022-2023;280;Public Health Agency of Canada;Agence de la santé publique du Canada;19;19;100.0;19.0;24.0;79.16666666666666;14;19;73.68421052631578;23.0;41.0;56.09756097560976;10;19;52.63157894736842
2022-2023;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;2;0;0.0;;;;1;2;50.0;0.0;5.0;0.0;0;2;0.0
2022-2023;135;Public Safety Canada;Sécurité publique Canada;59;41;69.49152542372882;45.0;64.0;70.3125;27;59;45.76271186440678;22.0;201.0;10.945273631840797;22;59;37.28813559322034
2022-2023;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;20;16;80.0;4.0;18.0;22.22222222222222;11;20;55.00000000000001;70.0;106.0;66.0377358490566;13;20;65.0
2022-2023;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;47;35;74.46808510638297;49.0;67.0;73.13432835820896;31;47;65.95744680851064;49.0;101.0;48.51485148514851;31;47;65.95744680851064
2022-2023;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;49;15;30.612244897959183;8.0;32.0;25.0;27;49;55.10204081632652;51.0;108.0;47.22222222222222;13;49;26.53061224489796
2022-2023;305;Shared Services Canada;Services partagés Canada;11;9;81.81818181818183;;;;5;11;45.45454545454545;38.0;55.0;69.0909090909091;11;11;100.0
2022-2023;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;13.0;16.0;81.25;7;7;100.0;30.0;30.0;100.0;0;7;0.0
2022-2023;313;Statistics Canada;Statistique Canada;23;23;100.0;36.0;37.0;97.2972972972973;22;23;95.65217391304348;50.0;51.0;98.0392156862745;19;23;82.6086956521739
2022-2023;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;;;;0;3;0.0;0.0;18.0;0.0;2;3;66.66666666666666
2022-2023;138;Transport Canada;Transports Canada;107;68;63.55140186915887;112.0;204.0;54.90196078431373;22;107;20.5607476635514;106.0;562.0;18.86120996441281;14;107;13.084112149532709
2022-2023;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;4;0;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2022-2023;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;27;25;92.5925925925926;29.0;30.0;96.66666666666667;20;27;74.07407407407408;105.0;116.0;90.51724137931035;18;27;66.66666666666666
2022-2023;139;Veterans Affairs Canada;Anciens Combattants Canada;30;20;66.66666666666666;18.0;24.0;75.0;21;30;70.0;123.0;141.0;87.2340425531915;18;30;60.0
2022-2023;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);1;1;100.0;;;;0;1;0.0;5.0;6.0;83.33333333333334;0;1;0.0
2022-2023;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;3;3;100.0;4.0;6.0;66.66666666666666;3;3;100.0;18.0;18.0;100.0;3;3;100.0
2023-2024;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;3;0;0.0;;;;1;3;33.33333333333333;2.0;12.0;16.666666666666664;0;3;0.0
2023-2024;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;35;35;100.0;83.0;100.0;83.0;18;35;51.42857142857142;113.0;179.0;63.128491620111724;25;35;71.42857142857143
2023-2024;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;4;2;50.0;3.0;4.0;75.0;3;4;75.0;5.0;6.0;83.33333333333334;0;4;0.0
2023-2024;26;Canada Border Services Agency;Agence des services frontaliers du Canada;41;26;63.41463414634146;27.0;43.0;62.7906976744186;19;41;46.34146341463415;38.0;143.0;26.573426573426573;1;41;2.4390243902439024
2023-2024;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;3;3;100.0;8.0;8.0;100.0;1;3;33.33333333333333;2.0;7.0;28.57142857142857;1;3;33.33333333333333
2023-2024;221;Canada Energy Regulator;Régie de l'énergie du Canada;14;14;100.0;18.0;19.0;94.73684210526315;0;14;0.0;12.0;82.0;14.634146341463413;14;14;100.0
2023-2024;46;Canada Revenue Agency;Agence du revenu du Canada;48;37;77.08333333333334;19.0;30.0;63.33333333333333;21;48;43.75;112.0;197.0;56.852791878172596;17;48;35.41666666666667
2023-2024;47;Canada School of Public Service;École de la fonction publique du Canada;1;1;100.0;;;;1;1;100.0;3.0;3.0;100.0;0;1;0.0
2023-2024;55;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;5;0;0.0;;;;5;5;100.0;18.0;18.0;100.0;1;5;20.0
2023-2024;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;125;29;23.200000000000003;29.0;34.0;85.29411764705883;27;125;21.6;190.0;723.0;26.279391424619643;0;125;0.0
2023-2024;69;Canadian Grain Commission;Commission canadienne des grains;13;10;76.92307692307693;9.0;9.0;100.0;6;13;46.15384615384615;9.0;36.0;25.0;0;13;0.0
2023-2024;122;Canadian Heritage;Patrimoine canadien;69;51;73.91304347826086;108.0;137.0;78.83211678832117;3;69;4.3478260869565215;100.0;409.0;24.449877750611247;27;69;39.130434782608695
2023-2024;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;9;0;0.0;;;;7;9;77.77777777777779;17.0;21.0;80.95238095238095;1;9;11.11111111111111
2023-2024;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;5;2;40.0;7.0;10.0;70.0;3;5;60.0;5.0;10.0;50.0;5;5;100.0
2023-2024;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;2;2;100.0;3.0;3.0;100.0;2;2;100.0;7.0;7.0;100.0;2;2;100.0
2023-2024;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;4;3;75.0;4.0;5.0;80.0;3;4;75.0;9.0;15.0;60.0;0;4;0.0
2023-2024;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;3;3;100.0;6.0;6.0;100.0;3;3;100.0;12.0;12.0;100.0;2;3;66.66666666666666
2023-2024;95;Canadian Space Agency;Agence spatiale canadienne;19;18;94.73684210526315;24.0;25.0;96.0;11;19;57.89473684210527;55.0;78.0;70.51282051282051;6;19;31.57894736842105
2023-2024;99;Canadian Transportation Agency;Office des transports du Canada;5;4;80.0;3.0;5.0;60.0;4;5;80.0;14.0;16.0;87.5;2;5;40.0
2023-2024;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;3;2;66.66666666666666;1.0;3.0;33.33333333333333;0;3;0.0;3.0;6.0;50.0;2;3;66.66666666666666
2023-2024;110;Communications Security Establishment Canada;Centre de la sécurité des télécommunications Canada;15;15;100.0;16.0;17.0;94.11764705882352;11;15;73.33333333333333;31.0;41.0;75.60975609756098;0;15;0.0
2023-2024;114;Copyright Board Canada;Commission du droit d'auteur Canada;2;2;100.0;;;;0;2;0.0;2.0;4.0;50.0;0;2;0.0
2023-2024;117;Correctional Service Canada;Service correctionnel Canada;5;2;40.0;6.0;8.0;75.0;4;5;80.0;6.0;12.0;50.0;4;5;80.0
2023-2024;118;Courts Administration Service;Service administratif des tribunaux judiciaires;2;0;0.0;;;;0;2;0.0;0.0;12.0;0.0;0;2;0.0
2023-2024;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;39;35;89.74358974358975;18.0;18.0;100.0;29;39;74.35897435897436;24.0;53.0;45.28301886792453;17;39;43.58974358974359
2023-2024;124;Department of Finance Canada;Ministère des Finances Canada;4;0;0.0;;;;4;4;100.0;1.0;1.0;100.0;0;4;0.0
2023-2024;348;Department of Indigenous Services;Ministère des Services aux Autochtones;88;15;17.045454545454543;10.0;24.0;41.66666666666667;59;88;67.04545454545455;34.0;118.0;28.8135593220339;12;88;13.636363636363635
2023-2024;132;Department of Justice Canada;Ministère de la Justice Canada;15;13;86.66666666666667;;;;12;15;80.0;39.0;50.0;78.0;4;15;26.666666666666668
2023-2024;128;Employment and Social Development Canada;Emploi et Développement social Canada;31;30;96.7741935483871;44.0;74.0;59.45945945945946;16;31;51.61290322580645;70.0;135.0;51.85185185185185;22;31;70.96774193548387
2023-2024;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;49;40;81.63265306122449;43.0;55.0;78.18181818181819;11;49;22.448979591836736;65.0;244.0;26.639344262295083;1;49;2.0408163265306123
2023-2024;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;2;0;0.0;;;;2;2;100.0;;;;0;2;0.0
2023-2024;561;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;2;1;50.0;1.0;3.0;33.33333333333333;1;2;50.0;0.0;1.0;0.0;0;2;0.0
2023-2024;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;2;1;50.0;2.0;2.0;100.0;1;2;50.0;3.0;6.0;50.0;0;2;0.0
2023-2024;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;2;1;50.0;;;;1;2;50.0;7.0;9.0;77.77777777777779;0;2;0.0
2023-2024;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;6;4;66.66666666666666;;;;1;6;16.666666666666664;7.0;26.0;26.923076923076923;6;6;100.0
2023-2024;125;Fisheries and Oceans Canada;Pêches et Océans Canada;75;45;60.0;;;;24;75;32.0;34.0;320.0;10.625;5;75;6.666666666666667
2023-2024;126;Global Affairs Canada;Affaires mondiales Canada;38;38;100.0;17.0;25.0;68.0;23;38;60.526315789473685;72.0;120.0;60.0;14;38;36.84210526315789
2023-2024;127;Health Canada;Santé Canada;84;47;55.952380952380956;37.0;54.0;68.51851851851852;52;84;61.904761904761905;76.0;170.0;44.70588235294118;17;84;20.238095238095237
2023-2024;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;17;17;100.0;25.0;30.0;83.33333333333334;9;17;52.94117647058824;33.0;60.0;55.00000000000001;7;17;41.17647058823529
2023-2024;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;0;0.0;;;;1;1;100.0;6.0;6.0;100.0;0;1;0.0
2023-2024;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;20;13;65.0;23.0;43.0;53.48837209302325;15;20;75.0;86.0;99.0;86.86868686868688;0;20;0.0
2023-2024;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;10;8;80.0;12.0;19.0;63.1578947368421;10;10;100.0;16.0;16.0;100.0;6;10;60.0
2023-2024;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;77;66;85.71428571428571;178.0;221.0;80.54298642533936;60;77;77.92207792207793;188.0;234.0;80.34188034188034;44;77;57.14285714285714
2023-2024;199;Library and Archives Canada;Bibliothèque et Archives Canada;12;2;16.666666666666664;;;;0;12;0.0;14.0;72.0;19.444444444444446;1;12;8.333333333333332
2023-2024;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;2;1;50.0;;;;0;2;0.0;0.0;12.0;0.0;0;2;0.0
2023-2024;133;National Defence;Défense nationale;16;4;25.0;10.0;11.0;90.9090909090909;5;16;31.25;11.0;59.0;18.64406779661017;0;16;0.0
2023-2024;223;National Film Board;Office national du film;5;5;100.0;;;;3;5;60.0;19.0;21.0;90.47619047619048;0;5;0.0
2023-2024;228;National Research Council Canada;Conseil national de recherches Canada;15;15;100.0;25.0;29.0;86.20689655172413;8;15;53.333333333333336;33.0;43.0;76.74418604651163;5;15;33.33333333333333
2023-2024;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;2;0;0.0;;;;2;2;100.0;;;;0;2;0.0
2023-2024;134;Natural Resources Canada;Ressources naturelles Canada;80;69;86.25;105.0;128.0;82.03125;46;80;57.49999999999999;101.0;246.0;41.05691056910569;32;80;40.0
2023-2024;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;6.0;10.0;60.0;6;6;100.0;24.0;24.0;100.0;6;6;100.0
2023-2024;238;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;9;9;100.0;4.0;9.0;44.44444444444444;9;9;100.0;2.0;2.0;100.0;9;9;100.0
2023-2024;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;7;0;0.0;;;;3;7;42.857142857142854;4.0;11.0;36.36363636363637;1;7;14.285714285714285
2023-2024;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;7;5;71.42857142857143;5.0;9.0;55.55555555555556;4;7;57.14285714285714;0.0;12.0;0.0;0;7;0.0
2023-2024;256;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;10;8;80.0;2.0;6.0;33.33333333333333;5;10;50.0;6.0;25.0;24.0;2;10;20.0
2023-2024;560;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;3;2;66.66666666666666;2.0;5.0;40.0;2;3;66.66666666666666;7.0;8.0;87.5;3;3;100.0
2023-2024;263;Parks Canada;Parcs Canada;26;10;38.46153846153847;4.0;4.0;100.0;17;26;65.38461538461539;19.0;65.0;29.230769230769234;3;26;11.538461538461538
2023-2024;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;10;4;40.0;3.0;5.0;60.0;10;10;100.0;24.0;24.0;100.0;1;10;10.0
2023-2024;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;0;0.0;;;;1;1;100.0;;;;0;1;0.0
2023-2024;552;Polar Knowledge Canada;Savoir polaire Canada;3;3;100.0;4.0;5.0;80.0;1;3;33.33333333333333;4.0;14.0;28.57142857142857;1;3;33.33333333333333
2023-2024;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;3;2;66.66666666666666;5.0;5.0;100.0;3;3;100.0;7.0;7.0;100.0;3;3;100.0
2023-2024;278;Privy Council Office;Bureau du Conseil privé;3;3;100.0;3.0;3.0;100.0;3;3;100.0;1.0;1.0;100.0;1;3;33.33333333333333
2023-2024;280;Public Health Agency of Canada;Agence de la santé publique du Canada;20;19;95.0;22.0;23.0;95.65217391304348;14;20;70.0;25.0;45.0;55.55555555555556;5;20;25.0
2023-2024;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;2;0;0.0;;;;2;2;100.0;;;;0;2;0.0
2023-2024;135;Public Safety Canada;Sécurité publique Canada;49;39;79.59183673469387;50.0;75.0;66.66666666666666;15;49;30.612244897959183;24.0;195.0;12.307692307692308;44;49;89.79591836734694
2023-2024;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;19;15;78.94736842105263;6.0;9.0;66.66666666666666;10;19;52.63157894736842;68.0;103.0;66.01941747572816;6;19;31.57894736842105
2023-2024;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;48;34;70.83333333333334;40.0;60.0;66.66666666666666;32;48;66.66666666666666;53.0;105.0;50.476190476190474;13;48;27.083333333333332
2023-2024;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;50;15;30.0;9.0;12.0;75.0;36;50;72.0;41.0;84.0;48.80952380952381;10;50;20.0
2023-2024;305;Shared Services Canada;Services partagés Canada;11;9;81.81818181818183;7.0;7.0;100.0;5;11;45.45454545454545;39.0;54.0;72.22222222222221;4;11;36.36363636363637
2023-2024;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;12.0;15.0;80.0;7;7;100.0;26.0;26.0;100.0;0;7;0.0
2023-2024;313;Statistics Canada;Statistique Canada;23;23;100.0;34.0;36.0;94.44444444444444;22;23;95.65217391304348;52.0;53.0;98.11320754716981;13;23;56.52173913043478
2023-2024;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;;;;3;3;100.0;;;;0;3;0.0
2023-2024;218;The National Battlefields Commission;Commission des champs de bataille nationaux;12;12;100.0;;;;9;12;75.0;0.0;18.0;0.0;0;12;0.0
2023-2024;138;Transport Canada;Transports Canada;117;75;64.1025641025641;108.0;187.0;57.75401069518716;25;117;21.367521367521366;115.0;600.0;19.166666666666668;11;117;9.401709401709402
2023-2024;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;32;28;87.5;29.0;32.0;90.625;22;32;68.75;116.0;135.0;85.92592592592592;22;32;68.75
2023-2024;139;Veterans Affairs Canada;Anciens Combattants Canada;30;20;66.66666666666666;18.0;23.0;78.26086956521739;18;30;60.0;123.0;143.0;86.01398601398601;15;30;50.0
2023-2024;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);1;1;100.0;;;;0;1;0.0;5.0;6.0;83.33333333333334;0;1;0.0
2023-2024;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;3;3;100.0;4.0;6.0;66.66666666666666;3;3;100.0;18.0;18.0;100.0;3;3;100.0
2024-2025;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;1;0;0.0;;;;1;1;100.0;;;;0;1;0.0

Timestamp:2025-02-05_15:01:20
