fiscal_yr;org_id;total_services;services_reviewed_in_past_5_yrs;services_improved_in_past_5_yrs
2018-2019;1;30;0;0
2018-2019;114;3;0;0
2018-2019;117;3;0;0
2018-2019;118;1;0;0
2018-2019;12;5;0;0
2018-2019;122;25;0;0
2018-2019;123;74;0;0
2018-2019;124;1;0;0
2018-2019;125;55;0;0
2018-2019;126;36;0;0
2018-2019;127;84;0;0
2018-2019;128;36;0;0
2018-2019;129;63;0;0
2018-2019;130;44;0;0
2018-2019;132;6;0;0
2018-2019;133;11;0;0
2018-2019;134;33;0;0
2018-2019;135;53;0;0
2018-2019;136;43;0;0
2018-2019;137;33;0;0
2018-2019;138;96;0;0
2018-2019;139;30;0;0
2018-2019;140;4;0;0
2018-2019;141;3;0;0
2018-2019;151;3;0;0
2018-2019;152;7;0;0
2018-2019;174;6;0;0
2018-2019;199;8;0;0
2018-2019;210;2;0;0
2018-2019;218;7;0;0
2018-2019;221;12;0;0
2018-2019;222;4;0;0
2018-2019;223;3;0;0
2018-2019;227;11;0;0
2018-2019;228;15;0;0
2018-2019;230;6;0;0
2018-2019;237;19;0;0
2018-2019;240;6;0;0
2018-2019;247;3;0;0
2018-2019;248;1;0;0
2018-2019;253;7;0;0
2018-2019;26;42;0;0
2018-2019;263;14;0;0
2018-2019;266;2;0;0
2018-2019;278;11;0;0
2018-2019;280;13;0;0
2018-2019;282;25;0;0
2018-2019;295;15;0;0
2018-2019;296;1;0;0
2018-2019;305;26;0;0
2018-2019;306;7;0;0
2018-2019;313;23;0;0
2018-2019;326;7;0;0
2018-2019;333;2;0;0
2018-2019;347;5;0;0
2018-2019;348;65;0;0
2018-2019;46;24;0;0
2018-2019;47;3;0;0
2018-2019;539;4;0;0
2018-2019;552;3;0;0
2018-2019;63;8;0;0
2018-2019;65;6;0;0
2018-2019;69;1;0;0
2018-2019;71;3;0;0
2018-2019;74;7;0;0
2018-2019;76;2;0;0
2018-2019;86;3;0;0
2018-2019;87;7;0;0
2018-2019;93;4;0;0
2018-2019;95;11;0;0
2018-2019;98;3;0;0
2018-2019;99;5;0;0
2019-2020;1;35;0;0
2019-2020;114;3;0;0
2019-2020;117;3;0;0
2019-2020;118;1;0;0
2019-2020;12;5;0;0
2019-2020;122;27;0;0
2019-2020;123;72;0;0
2019-2020;124;3;0;0
2019-2020;125;64;0;0
2019-2020;126;35;0;0
2019-2020;127;82;0;0
2019-2020;128;29;0;0
2019-2020;129;32;0;0
2019-2020;130;47;0;0
2019-2020;132;7;0;0
2019-2020;133;10;0;0
2019-2020;134;33;0;0
2019-2020;135;54;0;0
2019-2020;136;46;0;0
2019-2020;137;43;0;0
2019-2020;138;102;0;0
2019-2020;139;28;0;0
2019-2020;140;4;0;0
2019-2020;141;3;0;0
2019-2020;150;2;0;0
2019-2020;151;3;0;0
2019-2020;152;7;0;0
2019-2020;174;6;0;0
2019-2020;199;9;0;0
2019-2020;210;2;0;0
2019-2020;218;7;0;0
2019-2020;221;16;0;0
2019-2020;222;4;0;0
2019-2020;223;3;0;0
2019-2020;227;11;0;0
2019-2020;228;15;0;0
2019-2020;230;6;0;0
2019-2020;237;12;0;0
2019-2020;240;6;0;0
2019-2020;246;3;0;0
2019-2020;247;3;0;0
2019-2020;248;1;0;0
2019-2020;253;8;0;0
2019-2020;26;42;0;0
2019-2020;263;12;0;0
2019-2020;266;2;0;0
2019-2020;278;6;0;0
2019-2020;280;13;0;0
2019-2020;282;25;0;0
2019-2020;295;18;0;0
2019-2020;296;1;0;0
2019-2020;297;3;0;0
2019-2020;302;2;0;0
2019-2020;305;12;0;0
2019-2020;306;7;0;0
2019-2020;313;23;0;0
2019-2020;326;15;0;0
2019-2020;333;2;0;0
2019-2020;347;3;0;0
2019-2020;348;88;0;0
2019-2020;46;24;0;0
2019-2020;47;3;0;0
2019-2020;539;5;0;0
2019-2020;552;2;0;0
2019-2020;63;12;0;0
2019-2020;65;9;0;0
2019-2020;69;14;0;0
2019-2020;71;3;0;0
2019-2020;74;6;0;0
2019-2020;76;2;0;0
2019-2020;86;3;0;0
2019-2020;87;7;0;0
2019-2020;93;4;0;0
2019-2020;95;11;0;0
2019-2020;98;5;0;0
2019-2020;99;6;0;0
2020-2021;1;39;39;39
2020-2021;114;3;0;0
2020-2021;117;3;0;0
2020-2021;118;1;0;0
2020-2021;12;5;0;0
2020-2021;122;29;0;14
2020-2021;123;73;13;30
2020-2021;124;3;0;0
2020-2021;125;71;2;1
2020-2021;126;30;8;7
2020-2021;127;88;31;32
2020-2021;128;31;9;12
2020-2021;129;44;17;8
2020-2021;130;72;30;40
2020-2021;132;13;7;6
2020-2021;133;10;1;4
2020-2021;134;70;12;1
2020-2021;135;57;29;23
2020-2021;136;48;18;25
2020-2021;137;42;12;16
2020-2021;138;107;40;23
2020-2021;139;29;9;8
2020-2021;140;3;3;3
2020-2021;141;2;1;1
2020-2021;150;2;0;2
2020-2021;151;2;1;1
2020-2021;152;7;0;0
2020-2021;174;6;5;5
2020-2021;199;20;5;14
2020-2021;210;1;1;0
2020-2021;218;7;0;0
2020-2021;221;16;16;15
2020-2021;222;4;0;0
2020-2021;223;5;3;2
2020-2021;227;11;0;0
2020-2021;228;16;9;11
2020-2021;230;6;0;6
2020-2021;237;3;0;0
2020-2021;240;6;0;0
2020-2021;246;3;3;3
2020-2021;247;3;0;0
2020-2021;248;3;0;1
2020-2021;253;8;1;0
2020-2021;256;11;0;3
2020-2021;26;42;23;1
2020-2021;263;12;2;4
2020-2021;266;2;0;0
2020-2021;278;10;2;2
2020-2021;280;20;2;4
2020-2021;282;20;0;17
2020-2021;295;27;5;3
2020-2021;296;1;0;0
2020-2021;297;3;0;3
2020-2021;302;2;2;2
2020-2021;305;12;11;11
2020-2021;306;6;5;5
2020-2021;313;23;0;0
2020-2021;326;24;22;20
2020-2021;333;1;1;1
2020-2021;347;3;0;0
2020-2021;348;85;55;24
2020-2021;46;33;20;22
2020-2021;47;3;0;0
2020-2021;539;4;1;1
2020-2021;552;2;0;0
2020-2021;63;9;1;6
2020-2021;65;8;5;3
2020-2021;69;14;2;13
2020-2021;71;3;0;0
2020-2021;74;6;1;1
2020-2021;76;2;1;1
2020-2021;86;4;0;2
2020-2021;87;9;0;0
2020-2021;93;4;1;0
2020-2021;95;10;5;9
2020-2021;98;4;0;0
2020-2021;99;5;2;2
2021-2022;1;41;41;41
2021-2022;114;3;0;0
2021-2022;117;5;1;1
2021-2022;118;1;0;0
2021-2022;12;5;4;2
2021-2022;122;28;0;13
2021-2022;123;73;28;39
2021-2022;124;6;0;0
2021-2022;125;73;8;4
2021-2022;126;49;16;24
2021-2022;127;88;50;53
2021-2022;128;30;9;12
2021-2022;129;39;22;17
2021-2022;130;75;48;41
2021-2022;132;16;9;9
2021-2022;133;10;5;8
2021-2022;134;82;23;18
2021-2022;135;59;32;27
2021-2022;136;45;16;30
2021-2022;137;48;21;19
2021-2022;138;107;41;27
2021-2022;139;29;9;15
2021-2022;140;3;3;3
2021-2022;141;2;1;0
2021-2022;150;2;0;2
2021-2022;151;2;1;1
2021-2022;152;6;0;0
2021-2022;174;6;5;5
2021-2022;199;20;4;15
2021-2022;210;1;1;0
2021-2022;218;7;0;0
2021-2022;221;14;14;9
2021-2022;222;2;0;0
2021-2022;223;5;3;2
2021-2022;227;12;0;0
2021-2022;228;16;12;14
2021-2022;230;6;0;6
2021-2022;237;3;0;0
2021-2022;238;9;9;9
2021-2022;240;6;0;2
2021-2022;246;3;3;3
2021-2022;247;3;0;0
2021-2022;248;3;1;1
2021-2022;253;8;2;4
2021-2022;256;11;0;2
2021-2022;26;35;22;7
2021-2022;263;18;4;8
2021-2022;266;2;0;0
2021-2022;278;3;0;0
2021-2022;280;24;2;10
2021-2022;282;20;0;20
2021-2022;295;51;8;5
2021-2022;296;1;0;0
2021-2022;302;2;2;2
2021-2022;305;12;11;11
2021-2022;306;6;5;5
2021-2022;313;23;13;19
2021-2022;326;23;22;20
2021-2022;333;1;1;1
2021-2022;347;3;0;0
2021-2022;348;87;57;27
2021-2022;46;40;26;27
2021-2022;47;1;0;0
2021-2022;539;3;0;1
2021-2022;55;1;0;0
2021-2022;552;2;0;0
2021-2022;63;10;7;7
2021-2022;65;114;114;3
2021-2022;69;13;3;13
2021-2022;71;3;0;1
2021-2022;74;6;1;1
2021-2022;76;2;2;2
2021-2022;86;4;0;0
2021-2022;87;9;0;0
2021-2022;93;4;1;0
2021-2022;95;16;0;14
2021-2022;98;4;0;0
2021-2022;99;5;2;2
2022-2023;1;43;42;43
2022-2023;117;5;4;4
2022-2023;118;1;0;0
2022-2023;12;5;5;3
2022-2023;122;69;33;43
2022-2023;123;22;21;22
2022-2023;124;6;1;1
2022-2023;125;93;23;10
2022-2023;126;97;56;60
2022-2023;127;83;46;50
2022-2023;128;32;14;22
2022-2023;129;42;22;19
2022-2023;130;75;54;56
2022-2023;132;16;8;4
2022-2023;133;12;3;7
2022-2023;134;87;44;55
2022-2023;135;59;40;33
2022-2023;136;47;19;33
2022-2023;137;47;23;21
2022-2023;138;107;54;43
2022-2023;139;30;13;22
2022-2023;140;3;3;3
2022-2023;141;2;2;1
2022-2023;150;2;0;2
2022-2023;151;2;1;1
2022-2023;152;6;6;6
2022-2023;174;1;1;1
2022-2023;199;20;4;15
2022-2023;210;1;1;1
2022-2023;221;13;13;8
2022-2023;222;2;0;0
2022-2023;227;10;1;0
2022-2023;228;15;12;14
2022-2023;230;6;0;6
2022-2023;237;16;2;4
2022-2023;238;9;9;9
2022-2023;240;6;0;2
2022-2023;246;3;3;3
2022-2023;247;3;3;3
2022-2023;248;2;1;1
2022-2023;253;7;2;4
2022-2023;256;11;0;2
2022-2023;26;41;22;2
2022-2023;263;24;4;8
2022-2023;266;1;0;0
2022-2023;278;3;0;0
2022-2023;280;19;6;11
2022-2023;282;20;9;19
2022-2023;295;49;11;15
2022-2023;297;3;3;3
2022-2023;302;2;2;2
2022-2023;305;11;11;11
2022-2023;306;7;6;6
2022-2023;313;23;23;22
2022-2023;326;27;25;22
2022-2023;333;1;1;1
2022-2023;348;88;57;47
2022-2023;46;49;31;27
2022-2023;47;1;0;0
2022-2023;539;3;0;1
2022-2023;55;1;1;1
2022-2023;552;2;0;0
2022-2023;560;3;0;3
2022-2023;561;2;0;0
2022-2023;63;10;8;7
2022-2023;65;122;113;5
2022-2023;69;13;4;13
2022-2023;71;2;2;1
2022-2023;74;5;1;1
2022-2023;76;2;2;2
2022-2023;86;4;0;0
2022-2023;87;9;0;0
2022-2023;93;3;2;2
2022-2023;95;17;0;13
2022-2023;98;4;2;1
2022-2023;99;1;0;0
2023-2024;1;35;34;35
2023-2024;110;15;1;0
2023-2024;114;2;0;0
2023-2024;117;5;5;4
2023-2024;118;2;0;0
2023-2024;12;4;0;0
2023-2024;122;69;0;44
2023-2024;123;20;20;0
2023-2024;124;4;0;0
2023-2024;125;75;20;8
2023-2024;126;75;45;47
2023-2024;127;84;63;58
2023-2024;128;31;14;23
2023-2024;129;39;28;27
2023-2024;130;77;56;59
2023-2024;132;15;5;5
2023-2024;133;16;2;5
2023-2024;134;80;46;57
2023-2024;135;49;42;49
2023-2024;136;48;28;36
2023-2024;137;49;15;14
2023-2024;138;117;58;45
2023-2024;139;30;28;23
2023-2024;140;3;3;3
2023-2024;141;3;3;1
2023-2024;150;2;1;2
2023-2024;151;2;0;1
2023-2024;152;6;6;6
2023-2024;174;1;1;1
2023-2024;199;12;4;1
2023-2024;210;2;0;0
2023-2024;218;12;0;0
2023-2024;221;14;14;14
2023-2024;222;2;0;0
2023-2024;223;5;0;0
2023-2024;227;10;1;1
2023-2024;228;15;11;14
2023-2024;230;6;0;6
2023-2024;237;17;3;8
2023-2024;238;9;9;9
2023-2024;240;7;0;1
2023-2024;246;3;3;3
2023-2024;247;3;0;0
2023-2024;248;2;1;1
2023-2024;253;7;2;4
2023-2024;256;10;0;2
2023-2024;26;41;21;3
2023-2024;263;26;3;7
2023-2024;266;1;0;0
2023-2024;278;3;3;1
2023-2024;280;20;10;11
2023-2024;282;19;15;17
2023-2024;295;50;15;13
2023-2024;297;3;2;2
2023-2024;302;2;2;2
2023-2024;305;11;11;6
2023-2024;306;7;0;6
2023-2024;313;23;23;23
2023-2024;326;32;28;23
2023-2024;333;1;0;1
2023-2024;348;88;49;46
2023-2024;46;48;24;27
2023-2024;47;1;0;0
2023-2024;539;3;3;0
2023-2024;55;5;1;1
2023-2024;552;3;1;1
2023-2024;560;3;0;3
2023-2024;561;2;1;0
2023-2024;63;10;10;7
2023-2024;65;125;125;5
2023-2024;69;13;0;0
2023-2024;71;9;1;1
2023-2024;74;5;5;5
2023-2024;76;2;2;2
2023-2024;86;4;0;0
2023-2024;93;3;2;2
2023-2024;95;19;0;14
2023-2024;99;5;2;2
2024-2025;295;1;0;1

Timestamp:2025-09-18_15:00:16
